FOV_ID	ROI_ID	max_spotInt	ROI_Volume	ch01_C2__	ch02_C3__	ch03_C4__	ch04_C5__	maskFileName
2	146	742931.707854176	89634	21	150	180	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	182	702544.993964205	57841	21	150	180	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	219	824675.048781606	125225	21	150	180	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	255	356265.769477739	53140	6	127	125	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
1	26	945058.131048418	19826	6	127	125	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	51	864505.044070831	62893	6	127	125	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	76	1034366.9052996	48160	6	127	125	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	102	1163137.78460918	79968	12	197	157	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	128	898490.03333764	63058	12	197	157	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	153	1112109.3461517	78003	12	197	157	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	178	1214302.51596568	84309	12	197	157	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	204	848687.372745483	98123	14	142	143	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	230	989307.760360849	77715	14	142	143	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
